,country,year,sex,age,generation,incomelevel,depression,alcohol
18197,76,2004,1,4,5,0,3.931354,1.433958
11208,45,1993,1,4,5,0,3.537948,0.66614
6428,25,1996,0,3,4,1,3.161224,3.20531
7717,30,2015,0,5,5,2,2.793426,2.070307
15950,66,2000,1,0,2,2,2.351155,1.874463
11472,46,2003,0,5,5,0,3.685693,4.480427
9544,37,2015,0,1,4,0,3.360755,1.231484
14427,60,1998,1,3,4,2,2.830085,2.197235
16470,68,2012,1,4,0,0,2.89145,0.861145
12740,51,1998,1,2,0,2,2.738326,1.689276
5415,21,2010,1,1,2,0,3.27735,1.111439
14391,60,1995,0,5,1,2,2.821082,2.192437
7987,31,2012,0,3,3,0,3.930375,2.042078
10143,39,2013,0,1,4,0,3.996729,0.509059
9650,38,1997,0,0,2,0,4.265165,1.832005
19346,81,2002,0,3,4,1,4.4786,5.17397
11772,47,2006,1,4,5,0,3.705709,1.396086
9442,37,2006,1,5,5,0,3.402373,1.191376
6507,25,2003,1,5,5,1,3.077165,3.017311
10983,43,2006,0,0,4,2,3.555675,3.301988
630,2,2001,0,2,0,2,3.658839,2.264304
6929,27,2012,0,2,2,2,3.179419,1.100855
7161,28,2013,0,1,4,0,4.916404,2.776273
12133,49,2000,1,0,2,0,3.400413,1.055946
14766,61,2009,1,0,4,1,2.722347,0.888783
10702,42,1996,1,3,4,0,3.051899,0.562704
6163,24,1999,0,2,0,2,2.910579,1.880847
12766,51,2000,0,1,2,2,2.756713,1.706542
18118,76,1996,1,3,4,0,4.166359,1.451969
5518,22,1992,1,4,5,0,2.946446,1.869898
624,2,2001,1,0,4,2,3.658839,2.264304
1584,5,2007,0,5,5,0,3.327938,1.945237
9094,35,2011,1,5,5,2,4.244611,2.045249
17216,72,1992,0,1,0,0,3.724554,0.819173
16859,70,2007,0,3,3,0,3.067843,2.213872
16378,68,2004,1,0,4,0,2.941494,0.850215
5780,22,2015,0,4,0,0,2.685547,2.122513
20078,84,2009,1,4,5,0,4.76595,2.005749
15007,62,2009,1,1,2,0,2.282486,2.008557
10535,41,2002,0,3,4,2,2.557785,1.364231
11753,47,2004,1,0,4,0,3.748774,1.40595
2056,7,2011,0,0,4,0,3.957653,0.743792
2479,10,1995,0,5,1,0,3.637369,1.449455
17668,74,2003,1,1,2,2,3.90827,1.741542
3376,14,1993,1,2,0,2,2.789242,1.868211
15724,65,2008,0,0,4,0,3.551997,0.724053
79,0,1998,0,4,5,2,2.17953,1.668865
1352,4,2012,1,5,5,0,4.79008,1.504314
8631,34,1991,0,5,1,2,3.234091,3.365116
4401,17,2005,1,1,2,2,2.429338,1.602384
9180,36,2010,0,0,4,0,2.767358,2.199166
11959,48,2007,1,1,2,2,3.294376,0.761604
9597,38,1993,1,2,0,0,4.210405,1.764858
19275,80,2015,1,4,0,2,2.818218,2.667951
17287,72,1998,0,2,0,0,3.525654,0.829022
9517,37,2013,0,5,5,0,3.361856,1.218249
9577,38,1991,0,1,0,0,4.179122,1.7197
6278,24,2009,1,0,4,2,2.958505,1.809111
13640,55,2010,1,4,5,0,3.9871,1.77714
9430,37,2005,1,5,5,0,3.42279,1.18587
