,sex,age,generation,incomelevel,depression,alcohol
7451,1,3,3,0,4.32967,1.482519
4594,1,5,1,2,2.777762,1.409576
18673,0,5,1,0,3.455137,1.53551
3122,0,0,2,2,3.746093,2.564113
654,0,2,0,2,3.658181,2.259731
533,0,2,0,2,3.597366,2.193307
11959,1,1,2,2,3.294376,0.761604
9465,0,5,5,0,3.367176,1.205389
17918,0,3,4,0,4.555148,1.684808
14379,0,3,4,2,2.813845,2.188783
5986,0,3,3,0,3.277504,1.798737
6245,1,2,0,2,2.9588,1.820584
2251,1,0,4,0,2.729436,1.576808
14483,0,1,2,2,2.867884,2.225935
597,1,3,4,2,3.643306,2.267221
4372,1,3,4,2,2.412206,1.613577
4719,0,3,4,2,2.852831,1.429179
516,1,4,5,2,3.588855,2.116047
2368,0,2,0,2,4.150033,5.39758
19493,0,4,5,0,2.925635,0.761583
15970,1,5,5,2,2.349516,1.839186
14692,1,5,5,1,2.732641,0.937151
14781,0,0,4,1,2.724996,0.889633
13526,1,3,4,0,4.12433,1.449029
6831,1,2,0,2,3.161375,1.045707
19042,1,3,4,2,2.917409,2.497426
6384,1,4,5,1,3.152032,3.225143
2265,0,2,0,0,2.73648,1.588849
7853,1,0,4,0,3.810194,2.141658
4285,0,2,0,2,2.328083,1.500452
872,1,3,4,2,2.612533,2.16216
5464,1,4,0,0,3.293437,1.11375
3491,0,1,2,2,2.665233,1.772167
7206,0,2,0,0,4.56418,1.388861
7500,1,4,5,2,2.753385,1.956704
17378,1,2,0,0,3.362961,0.846888
244,0,4,5,0,2.573487,2.091997
7176,1,3,3,0,4.888971,2.743361
4202,0,4,0,0,4.02991,2.441051
1796,0,3,4,2,2.543924,2.159798
15182,0,5,1,0,4.664418,1.23878
3826,1,0,4,0,3.949366,1.580035
9437,0,1,2,0,3.402373,1.191376
3674,0,0,2,0,4.117476,1.502866
9457,0,4,5,0,3.367176,1.205389
13849,0,0,2,0,3.884254,1.686652
3596,1,4,0,2,2.540351,1.837604
5827,0,3,4,0,3.794941,1.600332
6493,1,0,4,1,3.089073,3.072536
357,1,3,4,0,2.573913,2.080573
975,1,1,2,2,2.698772,1.932295
2400,1,1,4,2,4.059205,5.45542
2697,0,0,4,0,4.110472,1.452881
20581,1,4,5,1,2.924568,2.270934
20233,0,4,5,0,3.366075,1.006921
6397,1,0,2,1,3.157514,3.223386
8192,1,5,5,0,4.364038,1.078711
6147,1,5,1,2,2.906001,1.890466
11780,0,3,4,0,3.705709,1.396086
2380,0,3,3,2,4.129334,5.432642
9958,1,1,2,0,4.218667,0.548534
4017,1,2,0,0,4.299501,2.569807
5746,0,4,0,0,2.701576,2.135204
17798,0,1,0,0,4.68566,1.913882
625,1,2,0,2,3.658839,2.264304
10725,1,2,0,0,2.993176,0.568627
6981,0,4,5,0,5.419043,2.786062
13092,1,0,2,0,4.119896,0.775719
3220,1,3,4,2,4.090664,2.687807
17229,0,0,2,0,3.669752,0.818741
11750,1,2,0,0,3.748774,1.40595
8925,0,0,2,2,3.687009,1.804892
9169,0,2,0,0,2.77864,2.212293
16285,1,3,3,2,2.60152,2.025871
17900,1,0,2,0,4.560509,1.689706
5651,1,4,5,0,2.769308,2.012186
16663,0,0,4,0,3.63728,0.476457
18049,0,1,4,0,4.541678,1.835134
3719,0,2,0,0,4.131973,1.531818
7245,1,2,0,0,4.480829,1.374704
10693,1,4,5,0,3.051899,0.562704
3017,1,5,5,2,2.325415,2.845401
9895,1,5,1,0,4.123589,0.547353
3244,0,3,3,2,3.895578,2.696485
1702,1,5,1,2,2.581908,2.140919
10072,0,0,4,0,4.135361,0.533317
173,0,5,5,2,2.222417,1.737167
6139,0,2,0,2,2.899459,1.900401
2020,0,3,3,0,4.056973,0.740531
11756,0,0,4,0,3.748774,1.40595
7003,0,4,5,0,5.345004,2.855875
3854,0,1,2,0,3.918091,1.586395
19931,0,3,4,0,4.662902,2.033987
7583,1,3,4,2,2.775152,1.840105
2416,0,1,4,2,4.048315,5.436959
5841,1,1,2,0,3.652859,1.653641
19442,0,2,2,1,4.13143,4.955689
11733,0,2,0,0,3.802403,1.429088
8446,0,1,2,2,2.808577,1.652067
10027,1,5,5,0,4.180606,0.542487
9080,0,3,3,2,4.219658,2.041377
10208,1,4,5,0,3.596572,0.449365
4991,0,0,4,0,2.795575,2.092609
6274,0,3,3,2,2.958661,1.813414
18261,1,3,3,0,3.802627,1.390568
19589,1,1,0,0,4.237369,1.506031
10396,0,0,4,0,3.430772,0.461949
15521,0,4,5,0,2.763139,1.828176
7135,0,2,2,0,4.961094,2.820935
15982,1,4,5,2,2.347841,1.821129
5364,1,3,4,0,3.328013,1.065441
1018,1,5,5,2,2.714179,1.990295
16145,0,1,4,2,2.350485,1.6943
15457,1,5,1,0,2.776026,1.981698
9119,0,3,4,0,2.894994,2.303453
14681,1,4,5,1,2.744974,0.952973
9974,0,1,2,0,4.228286,0.548768
2035,0,4,5,0,4.014388,0.743088
11613,0,5,1,0,4.048632,1.43592
8664,1,3,4,2,3.303338,3.312988
16620,1,3,4,0,3.921154,0.490438
4604,1,0,2,2,2.783971,1.412444
18804,1,5,5,0,3.332246,1.650006
19482,1,1,2,0,2.954305,0.75826
5424,0,5,5,0,3.27735,1.111439
2579,0,4,5,0,3.935032,1.468771
4705,0,4,5,2,2.847832,1.428057
10514,0,5,1,2,2.551216,1.363294
6291,1,4,5,2,2.959062,1.803276
10361,1,3,4,0,3.392412,0.451417
5141,1,3,4,2,3.843348,1.62449
4917,0,0,4,0,2.918731,1.977219
11334,0,5,5,0,3.555692,0.673312
1970,0,2,0,0,4.216324,0.735749
4714,1,5,5,2,2.852831,1.429179
12128,1,2,0,0,3.400413,1.055946
715,0,1,2,2,3.649862,1.980933
15226,0,3,4,0,4.680431,1.278205
1432,1,1,0,0,3.627022,1.729197
4199,0,2,2,0,4.02991,2.441051
12899,0,2,2,2,2.759083,1.724857
18283,0,0,4,0,3.769659,1.383849
3440,1,4,5,2,2.740295,1.786741
187,0,1,2,2,2.217203,1.766903
4068,0,1,2,0,4.245994,2.610772
2332,1,1,4,0,2.749714,1.593676
13651,1,5,5,0,3.980139,1.83697
